Date,Team,xG,xA,xPTS,match_or_not
26/09/2021,Tottenham,0.98,1.44,0.94,1
27/09/2021,Crystal Palace,1.37,0.65,2.08,1
27/09/2021,Brighton,0.65,1.37,0.65,1
02/10/2021,Chelsea,3.79,1.53,2.72,1
02/10/2021,Wolverhampton Wanderers,1.16,0.87,1.63,1
02/10/2021,Leeds,1.57,0.19,2.51,1
02/10/2021,Everton,1.32,1.05,1.58,1
02/10/2021,Manchester United,1.05,1.32,1.12,1
02/10/2021,Norwich,0.67,0.58,1.41,1
02/10/2021,Arsenal,0.36,1.12,0.68,1
02/10/2021,Burnley,0.58,0.67,1.19,1
02/10/2021,Brighton,1.12,0.36,1.99,1
02/10/2021,Newcastle United,0.87,1.16,1.02,1
02/10/2021,Watford,0.19,1.57,0.30,1
02/10/2021,Southampton,1.53,3.79,0.18,1
03/10/2021,Tottenham,1.78,1.07,1.90,1
03/10/2021,Brentford,1.30,1.37,1.32,1
03/10/2021,Leicester,1.04,1.17,1.28,1
03/10/2021,Crystal Palace,1.17,1.04,1.41,1
03/10/2021,Liverpool,0.95,1.04,1.28,1
03/10/2021,Manchester City,1.04,0.95,1.40,1
03/10/2021,Aston Villa,1.07,1.78,0.84,1
03/10/2021,West Ham,1.37,1.30,1.38,1
16/10/2021,Liverpool,3.66,0.30,2.97,1
16/10/2021,Leicester,2.97,1.02,2.62,1
16/10/2021,Manchester City,2.16,1.08,2.22,1
16/10/2021,Wolverhampton Wanderers,2.20,1.21,2.13,1
16/10/2021,Southampton,1.83,0.45,2.47,1
16/10/2021,Chelsea,0.25,1.62,0.31,1
16/10/2021,Norwich,1.16,1.18,1.30,1
16/10/2021,Brighton,1.18,1.16,1.37,1
16/10/2021,Aston Villa,1.21,2.20,0.65,1
16/10/2021,Brentford,1.62,0.25,2.50,1
16/10/2021,Leeds,0.45,1.83,0.35,1
16/10/2021,Manchester United,1.02,2.97,0.26,1
16/10/2021,Burnley,1.08,2.16,0.55,1
16/10/2021,Watford,0.30,3.66,0.02,1
17/10/2021,Tottenham,1.55,0.65,2.19,1
17/10/2021,West Ham,2.03,0.85,2.28,1
17/10/2021,Newcastle United,0.65,1.55,0.56,1
17/10/2021,Everton,0.85,2.03,0.52,1
18/10/2021,Crystal Palace,0.49,1.74,0.41,1
18/10/2021,Arsenal,1.74,0.49,2.40,1
