Date,Team,xG,xA,xPTS,match_or_not
11/08/2017,Arsenal,2.54,1.46,2.10,1
11/08/2017,Leicester,1.46,2.54,0.69,1
12/08/2017,Huddersfield,1.74,0.99,2.04,1
12/08/2017,Manchester City,1.87,0.28,2.71,1
12/08/2017,Burnley,0.56,1.36,0.66,1
12/08/2017,Everton,0.72,0.28,1.76,1
12/08/2017,West Bromwich Albion,1.18,0.38,2.07,1
12/08/2017,Liverpool,2.62,2.18,1.69,1
12/08/2017,Watford,2.18,2.62,1.02,1
12/08/2017,Southampton,2.22,0.41,2.62,1
12/08/2017,Swansea,0.41,2.22,0.25,1
12/08/2017,Chelsea,1.36,0.56,2.05,1
12/08/2017,Bournemouth,0.38,1.18,0.63,1
12/08/2017,Stoke,0.28,0.72,0.81,1
12/08/2017,Brighton,0.28,1.87,0.17,1
12/08/2017,Crystal Palace,0.99,1.74,0.71,1
13/08/2017,Manchester United,2.64,0.63,2.66,1
13/08/2017,Tottenham,2.34,0.63,2.58,1
13/08/2017,Newcastle United,0.63,2.34,0.28,1
13/08/2017,West Ham,0.63,2.64,0.23,1
19/08/2017,Manchester United,3.41,0.30,2.96,1
19/08/2017,Leicester,1.88,0.12,2.75,1
19/08/2017,Watford,2.18,0.77,2.40,1
19/08/2017,Southampton,2.14,1.53,1.85,1
19/08/2017,West Bromwich Albion,0.65,1.37,0.76,1
19/08/2017,Stoke,0.69,1.41,0.79,1
19/08/2017,Liverpool,2.85,0.73,2.69,1
19/08/2017,West Ham,1.53,2.14,0.88,1
19/08/2017,Crystal Palace,0.73,2.85,0.21,1
19/08/2017,Arsenal,1.41,0.69,1.94,1
19/08/2017,Burnley,1.37,0.65,1.97,1
19/08/2017,Bournemouth,0.77,2.18,0.41,1
19/08/2017,Brighton,0.12,1.88,0.14,1
19/08/2017,Swansea,0.30,3.41,0.02,1
20/08/2017,Chelsea,0.83,0.72,1.43,1
20/08/2017,Huddersfield,0.27,0.97,0.61,1
20/08/2017,Tottenham,0.72,0.83,1.21,1
20/08/2017,Newcastle United,0.97,0.27,2.05,1
21/08/2017,Everton,0.60,1.14,0.88,1
21/08/2017,Manchester City,1.14,0.60,1.80,1
26/08/2017,Newcastle United,2.76,0.56,2.78,1
26/08/2017,Swansea,0.97,0.82,1.49,1
26/08/2017,Manchester United,2.74,0.67,2.72,1
26/08/2017,Manchester City,1.77,0.42,2.41,1
26/08/2017,Southampton,0.80,1.52,0.79,1
26/08/2017,Watford,0.28,0.95,0.68,1
26/08/2017,Huddersfield,1.52,0.80,1.93,1
26/08/2017,Brighton,0.95,0.28,1.96,1
26/08/2017,Bournemouth,0.42,1.77,0.39,1
26/08/2017,Leicester,0.67,2.74,0.18,1
26/08/2017,Crystal Palace,0.82,0.97,1.18,1
26/08/2017,West Ham,0.56,2.76,0.14,1
27/08/2017,Liverpool,3.46,0.48,2.88,1
27/08/2017,Chelsea,1.17,0.33,2.10,1
27/08/2017,West Bromwich Albion,0.88,0.98,1.26,1
27/08/2017,Tottenham,2.35,0.67,2.50,1
27/08/2017,Stoke,0.98,0.88,1.40,1
27/08/2017,Burnley,0.67,2.35,0.35,1
27/08/2017,Everton,0.33,1.17,0.60,1
27/08/2017,Arsenal,0.48,3.46,0.08,1
09/09/2017,Manchester City,3.15,0.67,2.79,1
09/09/2017,Tottenham,2.18,1.15,2.11,1
09/09/2017,Arsenal,2.49,0.58,2.62,1
09/09/2017,Brighton,0.40,0.87,0.82,1
09/09/2017,Watford,0.58,0.33,1.53,1
09/09/2017,Chelsea,1.04,1.35,1.02,1
09/09/2017,Stoke,1.50,1.97,1.05,1
09/09/2017,Manchester United,1.97,1.50,1.70,1
09/09/2017,Leicester,1.35,1.04,1.69,1
09/09/2017,West Bromwich Albion,0.87,0.40,1.80,1
09/09/2017,Southampton,0.33,0.58,0.99,1
09/09/2017,Everton,1.15,2.18,0.68,1
09/09/2017,Bournemouth,0.58,2.49,0.26,1
09/09/2017,Liverpool,0.67,3.15,0.14,1
10/09/2017,Newcastle United,1.03,1.49,0.95,1
10/09/2017,Burnley,0.43,1.73,0.39,1
10/09/2017,Crystal Palace,1.73,0.43,2.41,1
10/09/2017,Swansea,1.49,1.03,1.76,1
11/09/2017,West Ham,1.95,0.34,2.71,1
11/09/2017,Huddersfield,0.34,1.95,0.17,1
15/09/2017,Bournemouth,1.40,0.87,1.80,1
15/09/2017,Brighton,0.87,1.40,0.90,1
16/09/2017,Manchester City,3.99,0.80,2.91,1
16/09/2017,Newcastle United,2.66,0.68,2.66,1
16/09/2017,Southampton,1.11,2.03,0.71,1
16/09/2017,Leicester,1.24,0.70,1.90,1
16/09/2017,Liverpool,2.19,0.33,2.71,1
16/09/2017,Burnley,0.33,2.19,0.18,1
16/09/2017,Huddersfield,0.70,1.24,0.80,1
16/09/2017,West Bromwich Albion,0.78,0.27,1.85,1
16/09/2017,West Ham,0.27,0.78,0.74,1
16/09/2017,Tottenham,1.18,0.15,2.25,1
16/09/2017,Swansea,0.15,1.18,0.45,1
16/09/2017,Stoke,0.68,2.66,0.23,1
16/09/2017,Crystal Palace,2.03,1.11,2.05,1
16/09/2017,Watford,0.80,3.99,0.05,1
17/09/2017,Manchester United,3.29,1.06,2.69,1
