Date,Team,xG,xA,xPTS,match_or_not
09/08/2019,Liverpool,2.23,0.84,2.39,1
09/08/2019,Norwich,0.84,2.23,0.44,1
10/08/2019,Manchester City,3.18,1.20,2.63,1
10/08/2019,Burnley,0.91,1.09,1.14,1
10/08/2019,Brighton,0.86,0.67,1.55,1
10/08/2019,Tottenham,2.57,0.64,2.59,1
10/08/2019,Bournemouth,1.34,1.60,1.02,1
10/08/2019,Sheffield United,1.60,1.34,1.59,1
10/08/2019,Everton,1.22,0.87,1.63,1
10/08/2019,Crystal Palace,0.87,1.22,1.05,1
10/08/2019,Aston Villa,0.64,2.57,0.28,1
10/08/2019,Southampton,1.09,0.91,1.51,1
10/08/2019,Watford,0.67,0.86,1.09,1
10/08/2019,West Ham,1.20,3.18,0.25,1
11/08/2019,Manchester United,2.37,1.10,2.32,1
11/08/2019,Arsenal,1.13,0.38,2.07,1
11/08/2019,Leicester,0.54,0.81,1.03,1
11/08/2019,Wolverhampton Wanderers,0.81,0.54,1.58,1
11/08/2019,Newcastle United,0.38,1.13,0.62,1
11/08/2019,Chelsea,1.10,2.37,0.50,1
17/08/2019,Norwich,2.10,0.92,2.24,1
17/08/2019,Bournemouth,1.63,1.65,1.36,1
17/08/2019,Arsenal,1.16,1.39,1.15,1
17/08/2019,Liverpool,1.52,2.14,0.95,1
17/08/2019,Everton,0.83,1.17,1.02,1
17/08/2019,Tottenham,0.07,3.20,0.04,1
17/08/2019,Manchester City,3.20,0.07,2.93,1
17/08/2019,West Ham,1.01,2.40,0.49,1
17/08/2019,Brighton,2.40,1.01,2.33,1
17/08/2019,Aston Villa,1.65,1.63,1.37,1
17/08/2019,Southampton,2.14,1.52,1.83,1
17/08/2019,Burnley,1.39,1.16,1.56,1
17/08/2019,Watford,1.17,0.83,1.66,1
17/08/2019,Newcastle United,0.92,2.10,0.56,1
18/08/2019,Sheffield United,1.85,0.24,2.64,1
18/08/2019,Leicester,0.95,1.23,1.08,1
18/08/2019,Chelsea,1.23,0.95,1.62,1
