Date,Team,xG,xA,xPTS,match_or_not
08/08/2015,Leicester,2.57,1.46,2.13,1
08/08/2015,Crystal Palace,2.11,1.13,2.13,1
08/08/2015,Aston Villa,0.78,0.88,1.23,1
08/08/2015,Manchester United,0.63,0.67,1.24,1
08/08/2015,Everton,0.60,0.56,1.33,1
08/08/2015,Chelsea,0.64,2.59,0.18,1
08/08/2015,Swansea,2.59,0.64,2.72,1
08/08/2015,Watford,0.56,0.60,1.24,1
08/08/2015,Bournemouth,0.88,0.78,1.42,1
08/08/2015,Tottenham,0.67,0.63,1.36,1
08/08/2015,Sunderland,1.46,2.57,0.66,1
08/08/2015,Norwich,1.13,2.11,0.65,1
09/08/2015,West Ham,0.54,1.33,0.71,1
09/08/2015,Liverpool,0.33,0.38,1.16,1
09/08/2015,Southampton,1.25,1.55,1.05,1
09/08/2015,Newcastle United,1.55,1.25,1.63,1
09/08/2015,Stoke,0.38,0.33,1.29,1
09/08/2015,Arsenal,1.33,0.54,2.01,1
10/08/2015,Manchester City,1.92,0.44,2.48,1
10/08/2015,West Bromwich Albion,0.44,1.92,0.35,1
14/08/2015,Manchester United,0.66,0.22,1.75,1
14/08/2015,Aston Villa,0.22,0.66,0.78,1
15/08/2015,Everton,1.40,1.06,1.67,1
15/08/2015,Norwich,1.72,0.33,2.48,1
15/08/2015,Swansea,1.97,0.11,2.83,1
15/08/2015,Leicester,1.81,0.51,2.51,1
15/08/2015,Tottenham,1.71,2.81,0.68,1
15/08/2015,Stoke,2.81,1.71,2.13,1
15/08/2015,West Bromwich Albion,0.68,0.76,1.25,1
15/08/2015,Watford,0.76,0.68,1.37,1
15/08/2015,West Ham,0.51,1.81,0.32,1
15/08/2015,Sunderland,0.33,1.72,0.34,1
15/08/2015,Newcastle United,0.11,1.97,0.10,1
15/08/2015,Southampton,1.06,1.40,1.05,1
16/08/2015,Manchester City,2.19,0.48,2.58,1
16/08/2015,Arsenal,2.06,0.96,2.19,1
16/08/2015,Crystal Palace,0.96,2.06,0.60,1
16/08/2015,Chelsea,0.48,2.19,0.28,1
17/08/2015,Liverpool,2.15,0.46,2.58,1
17/08/2015,Bournemouth,0.46,2.15,0.28,1
22/08/2015,Bournemouth,2.86,1.50,2.34,1
22/08/2015,Crystal Palace,1.24,0.77,1.73,1
22/08/2015,Leicester,0.83,1.89,0.58,1
22/08/2015,Sunderland,0.57,1.56,0.61,1
22/08/2015,Norwich,3.15,0.70,2.78,1
22/08/2015,Tottenham,1.89,0.83,2.20,1
22/08/2015,Swansea,1.56,0.57,2.15,1
22/08/2015,Stoke,0.70,3.15,0.15,1
22/08/2015,Newcastle United,0.44,1.25,0.65,1
22/08/2015,Manchester United,1.25,0.44,2.06,1
22/08/2015,West Ham,1.50,2.86,0.49,1
22/08/2015,Aston Villa,0.77,1.24,0.96,1
23/08/2015,Manchester City,1.58,0.58,2.20,1
23/08/2015,Chelsea,2.03,1.43,1.81,1
23/08/2015,Southampton,0.68,1.18,0.81,1
23/08/2015,Watford,1.18,0.68,1.88,1
23/08/2015,West Bromwich Albion,1.43,2.03,0.93,1
23/08/2015,Everton,0.58,1.58,0.56,1
24/08/2015,Arsenal,1.84,1.29,1.80,1
24/08/2015,Liverpool,1.29,1.84,0.94,1
29/08/2015,West Ham,0.97,0.56,1.74,1
29/08/2015,Manchester City,1.53,0.36,2.35,1
29/08/2015,Crystal Palace,2.19,1.28,2.03,1
29/08/2015,West Bromwich Albion,0.88,1.22,0.93,1
29/08/2015,Arsenal,2.34,0.03,2.87,1
29/08/2015,Aston Villa,2.27,0.37,2.72,1
29/08/2015,Sunderland,0.37,2.27,0.17,1
29/08/2015,Bournemouth,0.32,0.92,0.55,1
29/08/2015,Leicester,0.92,0.32,2.12,1
29/08/2015,Everton,0.69,2.00,0.47,1
29/08/2015,Tottenham,2.00,0.69,2.34,1
29/08/2015,Chelsea,1.28,2.19,0.75,1
29/08/2015,Stoke,1.22,0.88,1.74,1
29/08/2015,Newcastle United,0.03,2.34,0.07,1
29/08/2015,Watford,0.36,1.53,0.43,1
29/08/2015,Liverpool,0.56,0.97,0.93,1
30/08/2015,Southampton,2.86,0.64,2.82,1
30/08/2015,Swansea,0.97,1.28,1.07,1
30/08/2015,Manchester United,1.28,0.97,1.62,1
30/08/2015,Norwich,0.64,2.86,0.11,1
