Date,Team,xG,xA,xPTS,match_or_not
16/08/2014,Arsenal,1.55,0.16,2.79,1
16/08/2014,Swansea,0.28,1.17,0.48,1
16/08/2014,Aston Villa,0.91,0.42,1.83,1
16/08/2014,Tottenham,1.02,1.85,0.71,1
16/08/2014,Hull,1.12,1.90,0.74,1
16/08/2014,Everton,0.61,1.28,0.76,1
16/08/2014,Leicester,1.28,0.61,1.95,1
16/08/2014,West Bromwich Albion,1.68,0.99,2.04,1
16/08/2014,Sunderland,0.99,1.68,0.70,1
16/08/2014,Crystal Palace,0.16,1.55,0.11,1
16/08/2014,Manchester United,1.17,0.28,2.24,1
16/08/2014,West Ham,1.85,1.02,2.02,1
16/08/2014,Stoke,0.42,0.91,0.80,1
16/08/2014,Queens Park Rangers,1.90,1.12,2.01,1
17/08/2014,Manchester City,1.48,0.97,1.78,1
17/08/2014,Liverpool,1.33,1.55,1.18,1
17/08/2014,Southampton,1.55,1.33,1.53,1
17/08/2014,Newcastle United,0.97,1.48,0.94,1
18/08/2014,Chelsea,2.13,0.37,2.67,1
18/08/2014,Burnley,0.37,2.13,0.21,1
23/08/2014,West Ham,1.34,0.62,1.97,1
23/08/2014,Chelsea,2.03,0.55,2.47,1
23/08/2014,Swansea,0.91,0.84,1.42,1
23/08/2014,Everton,1.33,1.43,1.28,1
23/08/2014,Arsenal,1.43,1.33,1.43,1
23/08/2014,Aston Villa,0.51,0.70,1.11,1
23/08/2014,Southampton,0.67,0.67,1.28,1
23/08/2014,West Bromwich Albion,0.67,0.67,1.34,1
23/08/2014,Newcastle United,0.70,0.51,1.48,1
23/08/2014,Burnley,0.84,0.91,1.24,1
23/08/2014,Crystal Palace,0.62,1.34,0.74,1
23/08/2014,Leicester,0.55,2.03,0.35,1
24/08/2014,Tottenham,2.39,1.08,2.28,1
24/08/2014,Sunderland,0.67,0.94,0.97,1
24/08/2014,Stoke,1.61,0.87,1.99,1
24/08/2014,Manchester United,0.94,0.67,1.67,1
24/08/2014,Hull,0.87,1.61,0.73,1
24/08/2014,Queens Park Rangers,1.08,2.39,0.54,1
25/08/2014,Manchester City,1.31,0.90,1.74,1
25/08/2014,Liverpool,0.90,1.31,0.96,1
30/08/2014,Chelsea,2.03,1.45,1.79,1
30/08/2014,Swansea,2.03,0.70,2.37,1
30/08/2014,Southampton,1.58,0.64,2.15,1
30/08/2014,Stoke,0.30,0.89,0.75,1
30/08/2014,Queens Park Rangers,1.27,0.96,1.59,1
30/08/2014,Crystal Palace,1.66,1.70,1.33,1
30/08/2014,Newcastle United,1.70,1.66,1.36,1
30/08/2014,Manchester United,0.47,0.51,1.21,1
30/08/2014,Burnley,0.51,0.47,1.31,1
30/08/2014,Sunderland,0.96,1.27,1.11,1
30/08/2014,Manchester City,0.89,0.30,1.86,1
30/08/2014,West Ham,0.64,1.58,0.58,1
30/08/2014,Everton,1.45,2.03,0.98,1
30/08/2014,West Bromwich Albion,0.70,2.03,0.45,1
31/08/2014,Liverpool,2.74,0.49,2.76,1
31/08/2014,Aston Villa,0.64,0.29,1.61,1
31/08/2014,Leicester,0.81,2.30,0.41,1
31/08/2014,Arsenal,2.30,0.81,2.41,1
31/08/2014,Hull,0.29,0.64,0.91,1
31/08/2014,Tottenham,0.49,2.74,0.16,1
13/09/2014,Southampton,2.12,1.15,2.15,1
13/09/2014,Chelsea,3.57,1.02,2.72,1
13/09/2014,Everton,0.81,0.60,1.54,1
13/09/2014,Aston Villa,0.70,0.73,1.33,1
13/09/2014,Leicester,0.60,1.65,0.56,1
13/09/2014,Sunderland,0.34,2.04,0.20,1
13/09/2014,Tottenham,2.04,0.34,2.68,1
13/09/2014,Arsenal,2.08,2.31,1.23,1
13/09/2014,Manchester City,2.31,2.08,1.55,1
13/09/2014,Crystal Palace,0.78,1.25,0.85,1
13/09/2014,Burnley,1.25,0.78,1.85,1
13/09/2014,Stoke,1.65,0.60,2.19,1
13/09/2014,Liverpool,0.73,0.70,1.30,1
13/09/2014,Swansea,1.02,3.57,0.20,1
13/09/2014,West Bromwich Albion,0.60,0.81,1.07,1
13/09/2014,Newcastle United,1.15,2.12,0.64,1
14/09/2014,Manchester United,2.21,0.56,2.54,1
14/09/2014,Queens Park Rangers,0.56,2.21,0.31,1
15/09/2014,West Ham,0.66,0.44,1.52,1
15/09/2014,Hull,0.44,0.66,1.05,1
20/09/2014,Arsenal,1.36,0.65,2.00,1
20/09/2014,West Ham,1.26,0.38,2.24,1
20/09/2014,Southampton,0.75,0.52,1.50,1
20/09/2014,Stoke,1.46,1.06,1.74,1
20/09/2014,Newcastle United,1.92,0.85,2.20,1
20/09/2014,Hull,0.85,1.92,0.57,1
20/09/2014,Queens Park Rangers,1.06,1.46,0.97,1
20/09/2014,Sunderland,0.64,0.71,1.24,1
20/09/2014,Burnley,0.71,0.64,1.36,1
20/09/2014,Swansea,0.52,0.75,1.10,1
20/09/2014,Liverpool,0.38,1.26,0.50,1
20/09/2014,Aston Villa,0.65,1.36,0.69,1
21/09/2014,Leicester,2.54,1.71,1.97,1
21/09/2014,Crystal Palace,1.63,2.56,0.71,1
21/09/2014,West Bromwich Albion,1.08,0.44,1.96,1
21/09/2014,Chelsea,1.02,1.06,1.35,1
21/09/2014,Manchester City,1.06,1.02,1.30,1
21/09/2014,Everton,2.56,1.63,2.07,1
21/09/2014,Tottenham,0.44,1.08,0.72,1
21/09/2014,Manchester United,1.71,2.54,0.81,1
27/09/2014,Chelsea,3.14,0.23,2.96,1
27/09/2014,Manchester City,1.79,1.12,1.87,1
27/09/2014,Crystal Palace,2.11,0.45,2.71,1
27/09/2014,Southampton,2.34,0.46,2.65,1
27/09/2014,Manchester United,0.52,1.27,0.70,1
27/09/2014,Everton,0.48,1.53,0.50,1
27/09/2014,Tottenham,0.67,1.26,0.82,1
27/09/2014,Arsenal,1.26,0.67,1.87,1
27/09/2014,Liverpool,1.53,0.48,2.25,1
27/09/2014,Sunderland,1.40,0.16,2.47,1
27/09/2014,Swansea,0.16,1.40,0.32,1
27/09/2014,West Ham,1.27,0.52,2.02,1
27/09/2014,Queens Park Rangers,0.46,2.34,0.23,1
27/09/2014,Hull,1.12,1.79,0.85,1
27/09/2014,Leicester,0.45,2.11,0.18,1
27/09/2014,Aston Villa,0.23,3.14,0.02,1
28/09/2014,West Bromwich Albion,1.81,0.47,2.47,1
28/09/2014,Burnley,0.47,1.81,0.35,1
29/09/2014,Stoke,1.56,1.14,1.72,1
29/09/2014,Newcastle United,1.14,1.56,0.98,1
04/10/2014,Sunderland,1.41,0.48,2.24,1
04/10/2014,Manchester City,2.31,0.69,2.44,1
04/10/2014,Hull,1.07,0.62,1.74,1
04/10/2014,Liverpool,1.56,1.44,1.40,1
04/10/2014,Leicester,1.58,0.96,1.87,1
04/10/2014,Swansea,1.55,1.19,1.64,1
04/10/2014,Newcastle United,1.19,1.55,1.08,1
04/10/2014,Burnley,0.96,1.58,0.83,1
04/10/2014,West Bromwich Albion,1.44,1.56,1.32,1
04/10/2014,Stoke,0.48,1.41,0.52,1
04/10/2014,Aston Villa,0.69,2.31,0.39,1
04/10/2014,Crystal Palace,0.62,1.07,0.92,1
05/10/2014,Chelsea,1.40,0.33,2.43,1
05/10/2014,West Ham,1.64,0.70,2.24,1
05/10/2014,Manchester United,1.62,2.14,0.99,1
05/10/2014,Tottenham,0.90,1.15,1.10,1
05/10/2014,Everton,2.14,1.62,1.76,1
05/10/2014,Southampton,1.15,0.90,1.58,1
05/10/2014,Arsenal,0.33,1.40,0.36,1
05/10/2014,Queens Park Rangers,0.70,1.64,0.51,1
18/10/2014,Southampton,3.71,0.92,2.82,1
18/10/2014,Manchester City,3.75,2.32,2.27,1
18/10/2014,Everton,1.67,0.37,2.47,1
18/10/2014,West Ham,2.84,1.74,2.10,1
18/10/2014,Chelsea,1.02,1.17,1.15,1
18/10/2014,Newcastle United,2.19,0.65,2.49,1
18/10/2014,Arsenal,2.15,0.55,2.53,1
18/10/2014,Hull,0.55,2.15,0.31,1
18/10/2014,Crystal Palace,1.17,1.02,1.53,1
18/10/2014,Leicester,0.65,2.19,0.35,1
18/10/2014,Burnley,1.74,2.84,0.71,1
18/10/2014,Tottenham,2.32,3.75,0.57,1
18/10/2014,Aston Villa,0.37,1.67,0.34,1
18/10/2014,Sunderland,0.92,3.71,0.13,1
19/10/2014,Liverpool,1.52,2.61,0.65,1
19/10/2014,Stoke,1.76,2.27,0.93,1
19/10/2014,Queens Park Rangers,2.61,1.52,2.15,1
19/10/2014,Swansea,2.27,1.76,1.81,1
20/10/2014,West Bromwich Albion,0.62,0.93,1.07,1
20/10/2014,Manchester United,0.93,0.62,1.57,1
25/10/2014,Arsenal,1.47,0.44,2.27,1
25/10/2014,Swansea,1.06,0.77,1.60,1
25/10/2014,West Ham,2.63,1.86,1.92,1
25/10/2014,Southampton,1.38,0.87,1.75,1
25/10/2014,West Bromwich Albion,1.46,1.77,1.00,1
25/10/2014,Crystal Palace,1.77,1.46,1.69,1
25/10/2014,Liverpool,0.68,0.22,1.77,1
25/10/2014,Hull,0.22,0.68,0.77,1
25/10/2014,Manchester City,1.86,2.63,0.85,1
25/10/2014,Stoke,0.87,1.38,0.95,1
25/10/2014,Leicester,0.77,1.06,1.03,1
25/10/2014,Sunderland,0.44,1.47,0.49,1
26/10/2014,Everton,1.32,1.56,1.14,1
26/10/2014,Newcastle United,0.74,2.04,0.48,1
26/10/2014,Chelsea,0.99,1.84,0.74,1
26/10/2014,Manchester United,1.84,0.99,2.02,1
26/10/2014,Tottenham,2.04,0.74,2.33,1
26/10/2014,Burnley,1.56,1.32,1.59,1
27/10/2014,Queens Park Rangers,0.82,1.19,1.00,1
27/10/2014,Aston Villa,1.19,0.82,1.68,1
01/11/2014,Arsenal,4.33,0.68,2.95,1
01/11/2014,Chelsea,2.24,0.51,2.63,1
01/11/2014,Southampton,1.90,0.26,2.70,1
01/11/2014,West Bromwich Albion,0.56,1.41,0.63,1
01/11/2014,Newcastle United,1.57,0.26,2.47,1
01/11/2014,West Ham,0.53,3.07,0.12,1
01/11/2014,Stoke,3.07,0.53,2.82,1
01/11/2014,Everton,1.15,0.69,1.76,1
01/11/2014,Swansea,0.69,1.15,0.92,1
01/11/2014,Queens Park Rangers,0.51,2.24,0.24,1
01/11/2014,Leicester,1.41,0.56,2.11,1
01/11/2014,Liverpool,0.26,1.57,0.33,1
01/11/2014,Hull,0.26,1.90,0.18,1
01/11/2014,Burnley,0.68,4.33,0.03,1
02/11/2014,Tottenham,2.54,0.87,2.49,1
02/11/2014,Manchester City,2.57,0.73,2.56,1
02/11/2014,Aston Villa,0.87,2.54,0.36,1
02/11/2014,Manchester United,0.73,2.57,0.30,1
03/11/2014,Sunderland,0.73,0.77,1.24,1
03/11/2014,Crystal Palace,0.77,0.73,1.38,1
08/11/2014,Southampton,1.01,0.54,1.76,1
08/11/2014,Chelsea,1.97,0.53,2.52,1
08/11/2014,Manchester United,0.96,0.40,1.84,1
08/11/2014,Burnley,1.10,0.53,1.85,1
08/11/2014,Manchester City,1.70,1.86,1.25,1
08/11/2014,Queens Park Rangers,1.86,1.70,1.52,1
08/11/2014,Aston Villa,0.56,1.48,0.64,1
08/11/2014,West Ham,1.48,0.56,2.10,1
08/11/2014,Liverpool,0.53,1.97,0.33,1
08/11/2014,Crystal Palace,0.40,0.96,0.80,1
08/11/2014,Hull,0.53,1.10,0.83,1
08/11/2014,Leicester,0.54,1.01,0.89,1
09/11/2014,Newcastle United,0.69,0.77,1.24,1
09/11/2014,Swansea,0.52,1.78,0.42,1
09/11/2014,Stoke,1.25,1.28,1.31,1
09/11/2014,Everton,1.32,0.51,2.17,1
09/11/2014,Sunderland,0.51,1.32,0.56,1
09/11/2014,Tottenham,1.28,1.25,1.38,1
09/11/2014,Arsenal,1.78,0.52,2.39,1
09/11/2014,West Bromwich Albion,0.77,0.69,1.38,1
22/11/2014,Chelsea,4.37,0.09,2.99,1
22/11/2014,Everton,1.83,1.12,1.93,1
22/11/2014,Manchester City,2.26,0.96,2.26,1
22/11/2014,Manchester United,1.28,2.00,0.87,1
22/11/2014,Burnley,1.28,1.94,0.87,1
22/11/2014,Newcastle United,1.48,0.40,2.30,1
22/11/2014,Leicester,0.69,0.89,1.12,1
22/11/2014,Sunderland,0.89,0.69,1.53,1
22/11/2014,West Ham,1.12,1.83,0.82,1
22/11/2014,Arsenal,2.00,1.28,1.89,1
22/11/2014,Swansea,0.96,2.26,0.54,1
22/11/2014,Stoke,1.94,1.28,1.86,1
22/11/2014,Queens Park Rangers,0.40,1.48,0.47,1
22/11/2014,West Bromwich Albion,0.09,4.37,0.00,1
23/11/2014,Crystal Palace,1.47,0.95,1.80,1
23/11/2014,Tottenham,2.16,0.94,2.25,1
23/11/2014,Hull,0.94,2.16,0.55,1
23/11/2014,Liverpool,0.95,1.47,0.92,1
24/11/2014,Aston Villa,1.13,0.86,1.63,1
24/11/2014,Southampton,0.86,1.13,1.06,1
29/11/2014,Manchester United,1.77,0.23,2.73,1
29/11/2014,Queens Park Rangers,2.98,2.10,1.97,1
29/11/2014,West Ham,1.10,0.25,2.19,1
29/11/2014,Arsenal,1.06,0.32,1.99,1
29/11/2014,Liverpool,1.71,0.88,2.08,1
29/11/2014,Aston Villa,1.09,2.31,0.54,1
29/11/2014,Crystal Palace,1.51,1.46,1.44,1
29/11/2014,Swansea,1.46,1.51,1.27,1
29/11/2014,Burnley,2.31,1.09,2.28,1
29/11/2014,Sunderland,1.03,0.76,1.62,1
29/11/2014,Chelsea,0.76,1.03,1.05,1
29/11/2014,Leicester,2.10,2.98,0.82,1
29/11/2014,West Bromwich Albion,0.32,1.06,0.66,1
29/11/2014,Stoke,0.88,1.71,0.66,1
29/11/2014,Newcastle United,0.25,1.10,0.51,1
29/11/2014,Hull,0.23,1.77,0.15,1
30/11/2014,Manchester City,2.13,0.80,2.38,1
30/11/2014,Tottenham,1.13,0.93,1.52,1
30/11/2014,Everton,0.93,1.13,1.16,1
30/11/2014,Southampton,0.80,2.13,0.44,1
02/12/2014,Liverpool,1.30,1.24,1.45,1
02/12/2014,Swansea,1.54,0.79,1.95,1
02/12/2014,West Ham,1.24,1.41,1.24,1
02/12/2014,Manchester United,1.91,1.29,1.84,1
02/12/2014,Aston Villa,0.19,0.80,0.66,1
02/12/2014,Newcastle United,1.00,0.68,1.66,1
02/12/2014,Burnley,0.68,1.00,1.01,1
02/12/2014,West Bromwich Albion,1.41,1.24,1.45,1
02/12/2014,Stoke,1.29,1.91,0.87,1
02/12/2014,Crystal Palace,0.80,0.19,1.92,1
02/12/2014,Leicester,1.24,1.30,1.25,1
02/12/2014,Queens Park Rangers,0.79,1.54,0.78,1
03/12/2014,Manchester City,1.04,0.41,1.90,1
03/12/2014,Chelsea,1.72,0.29,2.48,1
03/12/2014,Arsenal,2.37,0.57,2.59,1
03/12/2014,Everton,1.28,0.30,2.27,1
03/12/2014,Hull,0.30,1.28,0.47,1
03/12/2014,Southampton,0.57,2.37,0.27,1
03/12/2014,Sunderland,0.41,1.04,0.76,1
03/12/2014,Tottenham,0.29,1.72,0.33,1
06/12/2014,Queens Park Rangers,1.64,1.26,1.65,1
06/12/2014,Stoke,2.50,2.02,1.75,1
06/12/2014,Newcastle United,1.49,2.16,0.93,1
06/12/2014,Manchester City,2.25,0.39,2.70,1
06/12/2014,West Bromwich Albion,1.06,0.59,1.88,1
06/12/2014,Sunderland,0.27,0.66,0.84,1
06/12/2014,Crystal Palace,1.17,0.96,1.51,1
06/12/2014,Tottenham,0.96,1.17,1.17,1
06/12/2014,Liverpool,0.66,0.27,1.71,1
06/12/2014,Hull,0.59,1.06,0.79,1
06/12/2014,Arsenal,2.02,2.50,1.01,1
06/12/2014,Chelsea,2.16,1.49,1.83,1
06/12/2014,Everton,0.39,2.25,0.19,1
06/12/2014,Burnley,1.26,1.64,1.08,1
07/12/2014,West Ham,2.12,1.00,2.16,1
07/12/2014,Aston Villa,1.98,1.01,2.06,1
07/12/2014,Leicester,1.01,1.98,0.70,1
07/12/2014,Swansea,1.00,2.12,0.63,1
08/12/2014,Manchester United,0.80,1.83,0.60,1
08/12/2014,Southampton,1.83,0.80,2.16,1
13/12/2014,Arsenal,2.39,0.94,2.48,1
13/12/2014,Chelsea,1.22,0.44,2.08,1
