Date,Team,xG,xA,xPTS,match_or_not
12/09/2020,Arsenal,2.16,0.13,2.89,1
12/09/2020,Newcastle United,1.66,0.86,2.05,1
12/09/2020,Liverpool,3.15,0.27,2.93,1
12/09/2020,Crystal Palace,1.40,1.26,1.48,1
12/09/2020,Leeds,0.27,3.15,0.04,1
12/09/2020,Southampton,1.26,1.40,1.22,1
12/09/2020,West Ham,0.86,1.66,0.70,1
12/09/2020,Fulham,0.13,2.16,0.06,1
13/09/2020,Leicester,2.96,0.35,2.91,1
13/09/2020,Everton,1.27,0.82,1.74,1
13/09/2020,Tottenham,0.82,1.27,0.96,1
13/09/2020,West Bromwich Albion,0.35,2.96,0.06,1
14/09/2020,Chelsea,1.27,1.44,1.21,1
14/09/2020,Wolverhampton Wanderers,1.61,0.95,1.91,1
14/09/2020,Brighton,1.44,1.27,1.48,1
14/09/2020,Sheffield United,0.95,1.61,0.80,1
19/09/2020,Everton,4.16,0.32,2.99,1
19/09/2020,Crystal Palace,1.91,1.10,2.02,1
19/09/2020,Leeds,1.45,1.56,1.26,1
19/09/2020,Arsenal,1.33,2.06,0.82,1
19/09/2020,Fulham,1.56,1.45,1.43,1
19/09/2020,West Ham,2.06,1.33,1.94,1
19/09/2020,Manchester United,1.10,1.91,0.75,1
19/09/2020,West Bromwich Albion,0.32,4.16,0.00,1
20/09/2020,Tottenham,2.28,2.28,1.39,1
20/09/2020,Brighton,1.88,0.52,2.51,1
20/09/2020,Leicester,0.99,1.52,0.95,1
20/09/2020,Liverpool,2.25,0.90,2.44,1
20/09/2020,Burnley,1.52,0.99,1.78,1
20/09/2020,Chelsea,0.90,2.25,0.37,1
20/09/2020,Southampton,2.28,2.28,1.34,1
20/09/2020,Newcastle United,0.52,1.88,0.31,1
21/09/2020,Manchester City,2.08,0.73,2.41,1
21/09/2020,Aston Villa,0.81,0.85,1.16,1
21/09/2020,Sheffield United,0.85,0.81,1.46,1
21/09/2020,Wolverhampton Wanderers,0.73,2.08,0.42,1
26/09/2020,Manchester United,1.58,2.98,0.48,1
26/09/2020,Everton,2.27,0.44,2.70,1
26/09/2020,Southampton,0.71,0.35,1.71,1
26/09/2020,West Bromwich Albion,0.91,2.36,0.41,1
26/09/2020,Chelsea,2.36,0.91,2.42,1
26/09/2020,Brighton,2.98,1.58,2.34,1
26/09/2020,Crystal Palace,0.44,2.27,0.19,1
26/09/2020,Burnley,0.35,0.71,0.87,1
