Date,Team,xG,xA,xPTS,match_or_not
13/08/2016,Manchester City,1.95,1.10,2.04,1
13/08/2016,Hull,0.74,2.46,0.29,1
13/08/2016,West Bromwich Albion,0.68,0.99,1.04,1
13/08/2016,Swansea,1.72,1.05,1.93,1
13/08/2016,Everton,0.79,1.12,1.03,1
13/08/2016,Southampton,0.94,0.18,2.02,1
13/08/2016,Tottenham,1.12,0.79,1.64,1
13/08/2016,Stoke,0.49,1.81,0.31,1
13/08/2016,Watford,0.18,0.94,0.59,1
13/08/2016,Middlesbrough,1.81,0.49,2.53,1
13/08/2016,Leicester,2.46,0.74,2.59,1
13/08/2016,Sunderland,1.10,1.95,0.70,1
13/08/2016,Crystal Palace,0.99,0.68,1.62,1
13/08/2016,Burnley,1.05,1.72,0.78,1
14/08/2016,Manchester United,1.91,0.52,2.52,1
14/08/2016,Liverpool,1.66,1.18,1.71,1
14/08/2016,Arsenal,1.18,1.66,1.00,1
14/08/2016,Bournemouth,0.52,1.91,0.32,1
15/08/2016,Chelsea,1.46,0.45,2.29,1
15/08/2016,West Ham,0.45,1.46,0.47,1
19/08/2016,Manchester United,1.37,0.61,2.08,1
19/08/2016,Southampton,0.61,1.37,0.65,1
20/08/2016,Manchester City,2.17,1.31,2.06,1
20/08/2016,Hull,2.19,1.14,2.19,1
20/08/2016,Burnley,0.20,0.94,0.59,1
20/08/2016,Everton,1.84,2.02,1.29,1
20/08/2016,Chelsea,1.76,0.80,2.18,1
20/08/2016,Tottenham,2.26,0.36,2.72,1
20/08/2016,Leicester,0.55,0.52,1.32,1
20/08/2016,Arsenal,0.52,0.55,1.23,1
20/08/2016,West Bromwich Albion,2.02,1.84,1.45,1
20/08/2016,Watford,0.80,1.76,0.57,1
20/08/2016,Crystal Palace,0.36,2.26,0.18,1
20/08/2016,Swansea,1.14,2.19,0.61,1
20/08/2016,Liverpool,0.94,0.20,2.04,1
20/08/2016,Stoke,1.31,2.17,0.68,1
21/08/2016,Middlesbrough,0.85,1.46,0.85,1
21/08/2016,West Ham,1.69,0.39,2.44,1
21/08/2016,Sunderland,1.46,0.85,1.85,1
21/08/2016,Bournemouth,0.39,1.69,0.37,1
27/08/2016,Chelsea,2.66,0.18,2.84,1
27/08/2016,Arsenal,2.03,1.08,2.15,1
27/08/2016,Leicester,2.48,0.33,2.81,1
27/08/2016,Everton,2.32,0.19,2.81,1
27/08/2016,Manchester United,2.47,0.27,2.84,1
27/08/2016,Bournemouth,0.97,2.66,0.37,1
27/08/2016,Southampton,0.61,1.39,0.62,1
27/08/2016,Sunderland,1.39,0.61,2.12,1
27/08/2016,Crystal Palace,2.66,0.97,2.49,1
27/08/2016,Tottenham,0.59,1.93,0.37,1
27/08/2016,Liverpool,1.93,0.59,2.46,1
27/08/2016,Swansea,0.33,2.48,0.12,1
27/08/2016,Stoke,0.19,2.32,0.11,1
27/08/2016,Hull,0.27,2.47,0.10,1
27/08/2016,Watford,1.08,2.03,0.63,1
27/08/2016,Burnley,0.18,2.66,0.10,1
28/08/2016,Manchester City,3.22,1.08,2.61,1
28/08/2016,West Bromwich Albion,0.70,0.40,1.59,1
28/08/2016,Middlesbrough,0.40,0.70,0.96,1
28/08/2016,West Ham,1.08,3.22,0.28,1
10/09/2016,Tottenham,2.77,1.02,2.52,1
10/09/2016,Liverpool,2.77,1.23,2.37,1
10/09/2016,Watford,1.85,1.32,1.77,1
10/09/2016,Crystal Palace,1.12,0.61,1.84,1
10/09/2016,Arsenal,1.89,1.18,1.92,1
10/09/2016,Manchester City,1.89,1.01,2.05,1
10/09/2016,Bournemouth,0.99,1.48,0.90,1
10/09/2016,Hull,0.91,0.45,1.78,1
10/09/2016,Burnley,0.45,0.91,0.86,1
10/09/2016,Southampton,1.18,1.89,0.82,1
10/09/2016,Manchester United,1.01,1.89,0.71,1
10/09/2016,Middlesbrough,0.61,1.12,0.84,1
10/09/2016,West Bromwich Albion,1.48,0.99,1.81,1
10/09/2016,West Ham,1.32,1.85,0.98,1
10/09/2016,Leicester,1.23,2.77,0.47,1
10/09/2016,Stoke,1.02,2.77,0.34,1
11/09/2016,Chelsea,2.19,1.23,2.01,1
11/09/2016,Swansea,1.23,2.19,0.74,1
12/09/2016,Everton,2.85,1.04,2.49,1
12/09/2016,Sunderland,1.04,2.85,0.37,1
16/09/2016,Liverpool,1.42,1.16,1.57,1
16/09/2016,Chelsea,1.16,1.42,1.12,1
17/09/2016,Manchester City,3.39,0.39,2.94,1
17/09/2016,Arsenal,3.63,0.97,2.83,1
17/09/2016,Leicester,1.99,0.46,2.57,1
17/09/2016,West Bromwich Albion,1.94,2.37,1.11,1
17/09/2016,Everton,1.17,0.18,2.36,1
17/09/2016,West Ham,2.37,1.94,1.63,1
17/09/2016,Middlesbrough,0.18,1.17,0.38,1
17/09/2016,Hull,0.97,3.63,0.11,1
17/09/2016,Burnley,0.46,1.99,0.28,1
17/09/2016,Bournemouth,0.39,3.39,0.04,1
18/09/2016,Crystal Palace,1.31,1.20,1.43,1
18/09/2016,Watford,1.75,1.41,1.63,1
18/09/2016,Southampton,2.15,0.49,2.54,1
18/09/2016,Tottenham,2.53,0.96,2.43,1
18/09/2016,Sunderland,0.96,2.53,0.41,1
18/09/2016,Swansea,0.49,2.15,0.31,1
18/09/2016,Manchester United,1.41,1.75,1.08,1
18/09/2016,Stoke,1.20,1.31,1.26,1
24/09/2016,Liverpool,4.65,0.16,2.99,1
24/09/2016,Manchester United,2.46,0.29,2.84,1
24/09/2016,Arsenal,1.66,0.61,2.21,1
24/09/2016,Manchester City,2.58,1.11,2.40,1
24/09/2016,Crystal Palace,1.79,1.51,1.54,1
24/09/2016,Tottenham,1.42,0.36,2.25,1
24/09/2016,Bournemouth,0.69,1.16,0.90,1
24/09/2016,West Bromwich Albion,0.27,0.98,0.64,1
24/09/2016,Stoke,0.98,0.27,2.00,1
24/09/2016,Sunderland,1.51,1.79,1.21,1
24/09/2016,Middlesbrough,0.36,1.42,0.49,1
24/09/2016,Everton,1.16,0.69,1.79,1
24/09/2016,Swansea,1.11,2.58,0.43,1
24/09/2016,Leicester,0.29,2.46,0.09,1
24/09/2016,Chelsea,0.61,1.66,0.56,1
24/09/2016,Hull,0.16,4.65,0.00,1
25/09/2016,Southampton,2.98,0.69,2.74,1
25/09/2016,West Ham,0.69,2.98,0.17,1
26/09/2016,Burnley,0.57,0.78,1.09,1
26/09/2016,Watford,0.78,0.57,1.52,1
30/09/2016,Everton,1.15,0.48,1.98,1
30/09/2016,Crystal Palace,0.48,1.15,0.72,1
01/10/2016,Chelsea,1.99,0.27,2.64,1
01/10/2016,Liverpool,2.02,2.66,0.91,1
01/10/2016,Bournemouth,1.35,1.23,1.45,1
01/10/2016,Watford,1.23,1.35,1.27,1
01/10/2016,West Bromwich Albion,0.88,1.19,1.02,1
01/10/2016,Sunderland,1.19,0.88,1.68,1
01/10/2016,West Ham,0.88,0.85,1.35,1
01/10/2016,Middlesbrough,0.85,0.88,1.31,1
01/10/2016,Swansea,2.66,2.02,1.86,1
01/10/2016,Hull,0.27,1.99,0.23,1
02/10/2016,Tottenham,1.70,0.91,2.03,1
02/10/2016,Arsenal,1.85,0.61,2.40,1
02/10/2016,Stoke,1.20,2.81,0.38,1
02/10/2016,Manchester United,2.81,1.20,2.46,1
02/10/2016,Southampton,0.92,0.45,1.79,1
02/10/2016,Leicester,0.45,0.92,0.85,1
02/10/2016,Burnley,0.61,1.85,0.39,1
02/10/2016,Manchester City,0.91,1.70,0.71,1
15/10/2016,Bournemouth,2.93,0.39,2.84,1
15/10/2016,Chelsea,3.12,0.18,2.93,1
15/10/2016,Stoke,2.30,0.59,2.58,1
15/10/2016,Arsenal,3.51,1.75,2.40,1
15/10/2016,West Ham,0.87,1.95,0.53,1
15/10/2016,Everton,0.14,2.69,0.04,1
15/10/2016,West Bromwich Albion,1.30,1.32,1.40,1
15/10/2016,Tottenham,1.32,1.30,1.31,1
15/10/2016,Manchester City,2.69,0.14,2.93,1
15/10/2016,Swansea,1.75,3.51,0.47,1
15/10/2016,Crystal Palace,1.95,0.87,2.26,1
15/10/2016,Sunderland,0.59,2.30,0.29,1
15/10/2016,Leicester,0.18,3.12,0.04,1
15/10/2016,Hull,0.39,2.93,0.10,1
16/10/2016,Southampton,4.21,1.03,2.89,1
16/10/2016,Watford,0.09,0.53,0.70,1
16/10/2016,Middlesbrough,0.53,0.09,1.75,1
16/10/2016,Burnley,1.03,4.21,0.07,1
17/10/2016,Liverpool,0.27,0.54,0.92,1
17/10/2016,Manchester United,0.54,0.27,1.59,1
22/10/2016,Leicester,1.70,1.66,1.41,1
22/10/2016,Stoke,1.04,0.70,1.63,1
22/10/2016,Liverpool,2.30,0.69,2.45,1
22/10/2016,Burnley,0.91,0.75,1.54,1
22/10/2016,West Ham,1.20,0.81,1.66,1
22/10/2016,Bournemouth,0.52,0.75,1.09,1
22/10/2016,Tottenham,0.75,0.52,1.50,1
22/10/2016,Arsenal,0.71,1.56,0.64,1
22/10/2016,Swansea,1.33,0.48,2.14,1
22/10/2016,Watford,0.48,1.33,0.59,1
22/10/2016,Middlesbrough,1.56,0.71,2.11,1
22/10/2016,Everton,0.75,0.91,1.11,1
22/10/2016,West Bromwich Albion,0.69,2.30,0.38,1
22/10/2016,Sunderland,0.81,1.20,1.03,1
22/10/2016,Crystal Palace,1.66,1.70,1.34,1
22/10/2016,Hull,0.70,1.04,1.05,1
23/10/2016,Chelsea,2.25,0.74,2.44,1
23/10/2016,Southampton,0.56,1.15,0.82,1
23/10/2016,Manchester City,1.15,0.56,1.86,1
23/10/2016,Manchester United,0.74,2.25,0.40,1
29/10/2016,Manchester City,2.48,0.60,2.60,1
29/10/2016,Arsenal,2.48,0.85,2.56,1
29/10/2016,Liverpool,2.26,0.50,2.56,1
29/10/2016,Middlesbrough,1.44,1.55,1.29,1
29/10/2016,Watford,1.15,0.25,2.17,1
29/10/2016,Leicester,0.74,1.70,0.56,1
29/10/2016,Tottenham,1.70,0.74,2.17,1
29/10/2016,Manchester United,2.72,0.33,2.75,1
