,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS
0,0,0,0,0,0,1,0,0,0,0,0,1,H,14,4,6,6,0.30808950086058523,0.4108482400461627,1.2740911713791114,0.7848537005163511
1,0,0,0,0,1,0,0,0,0,0,1,0,H,10,5,7,7,1.3838209982788297,0.6878245816503173,0.7639930755914599,0.9259896729776248
2,0,0,0,0,1,1,0,0,0,0,1,1,A,3,9,8,4,0.024096385542168672,0.05308713214079631,0.3485285631852279,0.4268502581755594
3,0,0,0,1,0,0,0,0,0,1,0,0,D,4,6,5,8,0.09466437177280551,0.21465666474321984,0.6001154068090017,0.6316695352839932
4,0,0,0,1,0,1,0,0,0,1,0,1,H,8,6,6,4,0.20137693631669537,0.22850548182342756,0.9394114252740912,0.9277108433734941
5,0,0,0,1,1,0,0,0,0,1,1,0,D,4,3,5,4,0.41308089500860584,0.482400461627236,0.8309290248124639,0.9259896729776248
6,0,0,0,1,1,1,0,0,0,1,1,1,H,10,2,6,1,1.3218588640275388,0.6693594922100404,0.023081361800346218,0.07056798623063684
7,0,0,1,0,0,0,0,0,1,0,0,0,H,2,7,2,9,0.49569707401032703,0.7755337564916329,1.4125793421811885,0.7917383820998278
8,0,0,1,0,0,1,0,0,1,0,0,1,H,6,5,3,4,1.1790017211703958,0.8909405654933641,0.10848240046162723,0.1153184165232358
9,0,0,1,0,1,0,0,0,1,0,1,0,H,9,6,7,1,1.3838209982788297,0.641661858049625,0.8147720715522215,0.9862306368330465
10,0,0,1,0,1,1,0,0,1,0,1,1,H,12,4,10,11,1.4337349397590362,0.7593768032313907,1.3525678015002884,0.774526678141136
11,0,0,1,1,0,0,0,0,1,1,0,0,H,3,6,6,4,0.03442340791738382,0.06693594922100403,1.3848817080207732,0.6712564543889846
12,0,0,1,1,0,1,0,0,1,1,0,1,D,8,6,4,6,0.08777969018932874,0.09001731102135026,1.4495095210617426,0.6936316695352841
13,0,0,1,1,1,0,0,0,1,1,1,0,D,6,4,5,5,0.37005163511187605,0.48701673398730516,1.1563762261973456,0.9294320137693631
14,0,0,1,1,1,1,0,0,1,1,1,1,H,8,4,3,5,1.0413080895008606,0.9371032890940565,0.28159261396422386,0.3580034423407918
15,0,1,0,0,0,0,0,1,0,0,0,0,H,10,4,7,3,1.2805507745266782,0.7663012117714945,0.5354875937680322,0.7900172117039588
16,0,1,0,0,0,1,0,1,0,0,0,1,H,4,5,9,6,0.8605851979345956,0.9301788805539527,0.08078476630121176,0.20309810671256456
17,0,1,0,0,1,0,0,1,0,0,1,0,A,4,5,6,5,0.5989672977624785,0.6947489901904212,0.05077899596076168,0.06884681583476764
18,0,1,0,0,1,1,0,1,0,0,1,1,A,12,2,11,5,0.783132530120482,0.9786497403346797,0.49163300634737445,0.4716006884681584
19,0,0,1,0,1,1,0,0,1,1,1,1,H,9,4,8,3,1.4337349397590362,0.7593768032313907,0.28159261396422386,0.3580034423407918
20,0,0,1,1,0,0,0,1,0,0,1,1,D,4,8,6,8,0.03442340791738382,0.06693594922100403,0.49163300634737445,0.4716006884681584
21,0,0,1,1,1,1,0,1,0,0,0,1,D,9,4,11,2,1.0413080895008606,0.9371032890940565,0.08078476630121176,0.20309810671256456
22,0,0,1,1,0,1,0,1,0,0,0,0,H,5,3,7,6,0.08777969018932874,0.09001731102135026,0.5354875937680322,0.7900172117039588
23,0,1,0,0,0,0,0,1,0,0,1,0,A,5,8,5,5,1.2805507745266782,0.7663012117714945,0.05077899596076168,0.06884681583476764
24,0,0,1,1,1,0,0,1,0,1,0,0,A,8,11,4,8,0.37005163511187605,0.48701673398730516,0.22619734564339297,0.20137693631669537
25,0,1,0,0,0,1,0,0,1,1,1,0,H,6,2,4,2,0.8605851979345956,0.9301788805539527,1.1563762261973456,0.9294320137693631
26,0,1,0,0,1,0,0,0,1,0,1,1,D,7,4,7,1,0.5989672977624785,0.6947489901904212,1.3525678015002884,0.774526678141136
27,0,1,0,0,1,1,0,0,1,1,0,1,D,8,5,7,5,0.783132530120482,0.9786497403346797,1.4495095210617426,0.6936316695352841
28,0,1,0,1,0,0,0,0,1,1,0,0,D,9,7,7,10,0.6867469879518072,0.8563185227928447,1.3848817080207732,0.6712564543889846
29,0,0,0,1,0,1,0,0,0,0,0,1,A,1,3,9,4,0.20137693631669537,0.22850548182342756,1.2740911713791114,0.7848537005163511
30,0,0,1,0,1,0,0,0,0,1,1,1,H,12,4,5,1,1.3838209982788297,0.641661858049625,0.023081361800346218,0.07056798623063684
31,0,0,1,0,0,0,0,0,0,0,1,0,D,7,9,4,11,0.49569707401032703,0.7755337564916329,0.7639930755914599,0.9259896729776248
32,0,0,1,0,0,1,0,0,0,1,0,1,H,7,6,7,5,1.1790017211703958,0.8909405654933641,0.9394114252740912,0.9277108433734941
33,0,0,0,0,0,1,0,0,0,1,0,0,D,6,3,10,14,0.30808950086058523,0.4108482400461627,0.6001154068090017,0.6316695352839932
