,HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5
2196,Fulham,Chelsea,H,1,0,H,7,10,4,4,12,13,0,16,1,4,0,1,38,58,46,18,0,1,0,1,1,1,0,0,1,1,0,0
2197,Newcastle,Liverpool,A,1,2,A,8,12,4,6,21,18,2,1,2,3,1,0,29,34,32,19,0,1,0,0,0,1,0,0,1,0,1,1
2198,Aston Villa,Fulham,D,0,0,D,10,9,6,3,11,8,8,4,0,0,0,0,33,38,37,46,0,1,0,1,0,0,0,1,0,1,1,1
2199,Chelsea,Man City,H,2,0,H,19,5,10,4,5,10,11,1,1,3,0,1,58,39,18,34,0,0,0,0,1,0,0,0,0,0,0,1
2200,Liverpool,Everton,H,1,0,H,17,8,10,5,12,25,5,3,3,7,1,1,39,28,20,38,0,0,0,1,1,1,0,0,0,1,0,1
2201,Sunderland,Blackburn,A,0,1,A,10,7,6,4,12,17,4,4,4,1,0,0,19,41,54,36,0,0,1,0,0,0,0,1,0,1,0,1
2202,Wigan,West Ham,A,1,0,H,12,5,8,3,10,20,4,1,3,0,0,0,35,46,36,45,0,1,1,1,1,1,0,0,0,0,1,0
2203,Charlton,Newcastle,H,2,1,H,11,15,5,8,12,13,5,5,1,1,0,0,34,30,41,35,0,0,0,0,0,1,0,0,1,0,1,0
2204,Man United,Birmingham,H,2,0,H,8,7,5,5,14,11,2,9,0,3,0,0,61,23,29,44,0,0,1,0,1,0,0,1,1,0,1,0
2205,Middlesbrough,Bolton,H,2,1,H,15,11,10,6,11,12,1,6,2,2,0,0,43,43,52,34,0,0,1,1,1,0,0,1,0,1,1,0
2206,Tottenham,West Brom,H,0,1,A,11,13,8,8,10,14,6,5,0,2,0,0,43,27,28,45,0,0,1,0,0,1,0,1,1,0,0,0
2207,Man United,West Ham,H,1,0,H,23,9,13,3,10,12,3,6,0,0,0,0,61,46,29,45,0,0,1,0,1,0,0,0,0,0,1,0
2208,Arsenal,Aston Villa,H,2,0,H,20,9,16,4,9,11,8,8,0,1,0,0,48,34,23,41,0,0,1,0,1,1,0,0,0,1,1,0
2209,Birmingham,Chelsea,D,0,0,D,4,13,1,4,11,6,2,8,0,0,0,0,23,58,44,19,0,1,1,0,0,0,0,0,1,1,0,0
2210,Bolton,Man United,A,1,1,D,7,14,2,10,17,11,3,5,1,2,0,0,43,62,35,29,0,1,0,1,0,1,0,0,1,1,0,1
2211,Everton,Sunderland,D,2,1,H,16,16,8,8,8,10,4,4,0,0,0,0,29,19,41,55,0,0,1,1,1,1,0,1,0,0,0,0
2212,Fulham,Portsmouth,A,1,2,A,10,10,4,7,9,16,7,8,2,2,1,0,40,27,51,52,0,1,0,1,1,1,0,1,1,1,0,0
2213,Newcastle,Tottenham,H,3,1,H,14,10,11,5,11,12,5,3,2,3,0,1,31,45,38,29,0,1,0,0,0,1,0,0,1,1,1,0
2214,West Brom,Liverpool,A,0,2,A,8,13,4,4,11,8,1,4,0,0,0,0,28,42,47,21,0,1,1,0,1,0,0,0,1,0,1,1
2215,Man City,Middlesbrough,A,0,1,A,9,16,2,9,15,17,2,9,0,1,0,0,39,44,37,52,0,1,0,0,0,0,0,0,0,0,1,1
2216,West Ham,Charlton,D,0,0,D,16,8,7,2,9,6,12,8,0,1,0,0,46,37,46,42,0,1,0,0,1,1,0,0,1,1,1,1
2217,Blackburn,Wigan,D,0,0,D,11,12,5,4,13,19,12,3,0,2,0,0,42,36,36,38,0,1,0,1,1,0,0,1,1,1,1,1
2218,Birmingham,Bolton,H,1,0,H,7,8,2,1,12,7,5,2,1,0,0,0,23,43,44,35,0,1,1,0,0,0,0,1,0,1,1,0
2219,Charlton,Everton,D,0,0,D,9,7,4,3,16,16,6,4,0,2,0,0,37,29,42,41,0,0,0,0,0,1,0,0,0,1,0,1
2220,Portsmouth,Blackburn,D,1,1,D,22,4,12,3,12,10,7,3,1,3,0,0,29,43,54,37,0,1,1,0,1,1,0,1,0,1,0,1
2221,Tottenham,Man City,H,1,0,H,23,14,19,6,4,16,8,5,0,3,0,0,46,39,32,38,0,0,1,0,0,1,0,0,0,0,0,1
2222,Wigan,Birmingham,D,0,0,D,13,11,6,5,16,9,13,7,0,2,0,0,37,24,39,44,0,1,1,1,1,1,0,1,1,0,1,0
2223,Aston Villa,West Brom,D,0,0,D,6,7,3,4,15,10,6,10,1,2,0,0,34,28,46,49,0,1,0,1,0,0,0,1,1,0,0,0
2224,Chelsea,West Ham,H,2,1,H,14,6,5,4,7,14,5,5,0,2,1,0,60,46,19,46,0,0,0,0,1,0,0,0,0,0,1,0
2225,Liverpool,Bolton,H,1,0,H,17,7,7,4,6,6,3,2,1,1,0,0,45,43,22,36,0,0,0,1,1,1,0,1,0,1,1,0
2226,Man United,Arsenal,H,0,0,D,14,10,8,3,16,16,5,3,3,1,0,0,64,53,30,25,0,0,1,0,1,0,0,0,1,0,0,0
2227,Middlesbrough,Newcastle,A,0,2,A,13,14,8,5,14,21,6,5,2,4,0,0,45,34,54,39,0,0,1,1,1,0,0,0,1,0,1,0
2228,Portsmouth,Arsenal,D,0,1,A,10,9,4,3,9,9,3,10,1,1,0,0,29,53,54,25,0,1,1,0,1,1,0,0,1,0,0,0
2229,Man United,Sunderland,D,0,0,D,24,12,11,3,6,13,16,2,0,1,0,0,64,21,30,57,0,0,1,0,1,0,0,1,0,0,0,0
2230,Arsenal,West Brom,H,1,0,H,16,8,10,1,8,6,5,1,2,1,0,0,54,28,26,49,0,0,1,0,1,1,0,1,1,0,0,0
2231,Bolton,Chelsea,A,0,1,A,7,5,4,3,19,15,4,1,3,3,1,0,43,64,38,20,0,1,0,1,0,1,0,0,1,1,0,0
2232,Everton,Tottenham,A,0,1,A,8,10,4,6,16,9,7,9,2,1,0,0,31,48,43,33,0,0,1,1,1,1,0,0,1,1,1,0
2233,Fulham,Charlton,H,2,1,H,6,10,4,7,12,16,2,12,0,0,0,0,41,37,54,42,0,1,0,1,1,1,0,0,1,1,1,1
2234,Newcastle,Wigan,H,2,1,H,11,13,8,5,13,16,7,1,2,3,0,0,36,38,40,40,0,1,0,0,0,1,0,1,1,1,1,1
2235,Portsmouth,Middlesbrough,H,0,0,D,16,12,11,8,12,10,7,5,0,0,0,0,30,45,55,55,0,1,1,0,1,1,0,0,0,0,1,1
2236,West Ham,Man City,H,1,0,H,8,6,6,2,18,11,9,3,0,2,0,0,47,40,50,40,0,1,0,0,1,1,0,0,0,0,0,1
2237,Aston Villa,Birmingham,H,1,1,D,9,12,7,8,22,12,5,5,4,3,0,0,34,25,46,45,0,1,0,1,0,0,0,1,1,0,1,0
2238,Blackburn,Liverpool,A,0,1,A,6,7,3,2,12,11,6,4,3,2,0,0,45,47,39,22,0,1,0,1,1,0,0,0,1,0,1,1
2239,Charlton,Portsmouth,H,0,1,A,16,11,9,5,10,17,6,9,1,1,0,0,37,30,42,55,0,0,0,0,0,1,0,1,1,1,0,0
2240,Chelsea,Everton,H,1,0,H,15,4,8,2,6,6,6,3,0,0,0,1,66,31,20,44,0,0,0,0,1,0,0,0,0,1,0,1
2241,Middlesbrough,West Ham,H,1,0,H,12,14,8,6,6,12,4,7,0,1,0,0,47,48,55,50,0,0,1,1,1,0,0,0,0,0,1,0
2242,Sunderland,Newcastle,A,1,0,H,12,9,6,4,16,21,13,1,1,2,0,0,22,39,61,41,0,0,1,0,0,0,0,0,1,0,1,0
2243,Tottenham,Man United,A,0,2,A,15,11,8,5,7,15,9,5,1,1,0,0,49,66,33,30,0,0,1,0,0,1,0,0,1,1,0,1
2244,West Brom,Bolton,D,0,0,D,9,8,1,3,13,16,3,6,0,0,0,0,29,43,52,38,0,1,1,0,1,0,0,1,0,1,1,0
2245,Wigan,Aston Villa,H,1,0,H,18,9,11,4,10,13,8,7,2,2,0,0,39,37,43,47,0,1,1,1,1,1,0,0,0,1,1,0
2246,Birmingham,Blackburn,H,0,0,D,12,12,6,6,15,12,9,11,5,0,0,0,26,45,48,40,0,1,1,0,0,0,0,1,0,1,0,1
2247,Arsenal,Tottenham,D,0,0,D,9,9,6,6,9,9,5,4,1,1,0,1,57,49,27,33,0,0,1,0,1,1,0,0,1,1,1,0
2248,Bolton,Charlton,H,3,0,H,13,5,11,3,14,12,9,1,0,0,0,0,43,38,38,44,0,1,0,1,0,1,0,0,1,1,1,1
2249,Everton,Birmingham,D,0,0,D,17,6,9,2,15,18,11,2,0,4,0,0,31,26,44,48,0,0,1,1,1,1,0,1,1,0,1,0
2250,Newcastle,West Brom,H,2,0,H,14,5,9,1,16,11,4,2,0,1,0,0,43,29,42,52,0,1,0,0,0,1,0,1,1,0,0,0
2251,Portsmouth,Sunderland,H,0,0,D,23,7,15,6,9,15,8,5,2,3,0,0,32,23,57,63,0,1,1,0,1,1,0,1,0,0,0,0
2252,Fulham,Wigan,H,1,0,H,12,21,6,10,11,9,4,8,4,2,0,0,44,42,55,45,0,1,0,1,1,1,0,1,1,1,1,1
2253,Aston Villa,Man City,A,0,0,D,10,15,5,6,12,9,4,9,1,1,0,0,39,41,50,41,0,1,0,1,0,0,0,0,0,0,0,1
2254,West Ham,Liverpool,A,0,1,A,11,13,7,7,11,7,6,3,0,0,1,1,48,49,52,22,0,1,0,0,1,1,0,0,1,0,1,1
2255,Birmingham,Newcastle,D,0,0,D,15,4,5,0,9,10,6,3,2,2,0,0,28,43,49,42,0,1,1,0,0,0,0,0,1,0,1,0
2256,Charlton,Blackburn,A,0,1,A,7,10,3,4,10,6,4,4,3,4,0,0,40,46,45,42,0,0,0,0,0,1,0,1,0,1,0,1
2257,Chelsea,Man United,H,1,0,H,11,7,5,2,17,12,2,3,4,2,0,0,69,68,20,31,0,0,0,0,1,0,0,0,1,1,0,1
2258,Liverpool,Aston Villa,H,1,0,H,15,7,9,3,7,11,6,5,0,0,0,0,49,39,22,50,0,0,0,1,1,1,0,0,0,1,1,0
2259,Man City,Fulham,A,0,0,D,19,12,10,7,11,11,9,6,1,2,0,0,41,44,41,55,0,1,0,0,0,0,0,1,0,1,1,1
2260,Middlesbrough,Everton,A,0,0,D,11,8,3,4,13,17,4,6,2,2,0,0,47,31,56,47,0,0,1,1,1,0,0,0,0,1,0,1
2261,Wigan,Portsmouth,A,1,0,H,13,16,7,8,11,8,3,9,3,1,1,0,42,34,46,58,0,1,1,1,1,1,0,1,1,1,0,0
2262,Tottenham,Bolton,H,0,0,D,9,14,4,6,11,12,6,8,1,5,0,0,51,47,36,40,0,0,1,0,0,1,0,1,0,1,1,0
2263,Man United,Middlesbrough,D,0,0,D,17,10,6,6,11,10,10,2,2,2,0,0,68,47,34,56,0,0,1,0,1,0,0,0,0,0,1,1
2264,Sunderland,Arsenal,A,0,3,A,7,7,2,4,17,8,5,3,3,0,0,0,23,61,66,28,0,0,1,0,0,0,0,0,1,0,0,0
2265,West Brom,West Ham,A,0,1,A,16,10,4,5,8,15,9,6,0,0,0,0,29,49,55,54,0,1,1,0,1,0,0,0,0,0,1,0
2266,Blackburn,Chelsea,H,1,0,H,6,7,1,2,18,6,5,8,2,2,0,0,48,72,42,20,0,1,0,1,1,0,0,0,1,1,0,0
2267,Bolton,Middlesbrough,D,0,0,D,17,5,9,3,9,10,6,1,1,1,0,0,47,47,40,56,0,1,0,1,0,1,0,0,0,0,1,1
2268,Man City,Arsenal,A,1,1,D,10,17,8,12,21,8,12,6,3,0,0,0,42,61,43,28,0,1,0,0,0,0,0,0,1,0,0,0
2269,Sunderland,Fulham,H,1,0,H,3,10,3,2,18,6,10,3,4,4,0,0,23,46,66,56,0,0,1,0,0,0,0,1,0,1,1,1
2270,Arsenal,Wigan,H,2,2,D,13,8,7,3,12,16,5,1,1,1,0,1,64,43,29,48,0,0,1,0,1,1,0,1,1,1,1,1
2271,Aston Villa,Sunderland,H,1,0,H,16,14,9,7,11,10,7,7,4,2,0,0,40,25,54,67,0,1,0,1,0,0,0,1,0,0,0,0
2272,Blackburn,Man City,H,1,0,H,6,11,2,4,20,9,4,4,2,4,1,0,49,43,42,46,0,1,0,1,1,0,0,0,0,0,0,1
2273,Bolton,Birmingham,H,0,0,D,16,5,6,2,7,14,5,2,0,1,0,0,48,28,41,49,0,1,0,1,0,1,0,1,1,0,1,0
2274,Everton,West Brom,D,0,1,A,22,6,18,5,16,18,14,2,1,2,0,0,32,29,47,56,0,0,1,1,1,1,0,1,1,0,0,0
2275,Fulham,Middlesbrough,H,0,0,D,8,6,3,3,8,12,8,4,0,1,0,0,47,48,58,57,0,1,0,1,1,1,0,0,0,0,1,1
2276,Man United,Charlton,H,3,0,H,20,8,11,3,9,6,8,2,1,0,0,0,68,41,34,51,0,0,1,0,1,0,0,0,1,1,1,1
2277,Newcastle,Chelsea,H,0,0,D,16,10,8,5,17,14,3,7,4,2,1,0,46,72,42,21,0,1,0,0,0,1,0,0,1,1,0,0
2278,Portsmouth,Liverpool,A,0,0,D,6,8,4,4,5,11,5,6,1,0,0,0,36,54,59,24,0,1,1,0,1,1,0,0,1,0,1,1
2279,West Ham,Tottenham,H,1,1,D,12,14,7,6,17,7,11,4,1,0,0,0,50,52,54,36,0,1,0,0,1,1,0,0,1,1,1,0
2280,Arsenal,Aston Villa,D,0,0,D,19,5,11,3,10,19,18,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0
2281,Bolton,Tottenham,H,2,0,H,8,9,6,6,19,22,6,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0
2282,Everton,Watford,H,1,0,H,6,12,2,8,12,13,0,6,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
2283,Newcastle,Wigan,H,1,0,H,9,14,8,9,17,20,4,11,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
2284,Portsmouth,Blackburn,H,1,0,H,21,9,16,7,20,17,6,2,2,1,0,2,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1
2285,Reading,Middlesbrough,H,2,2,D,14,7,9,5,8,15,8,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2286,Sheffield United,Liverpool,D,0,0,D,5,12,3,7,10,16,0,12,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
2287,West Ham,Charlton,H,0,1,A,16,4,5,2,14,14,6,0,2,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1
2288,Chelsea,Man City,H,2,0,H,10,5,4,2,7,15,5,2,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2289,Man United,Fulham,H,4,1,H,15,12,7,8,14,20,5,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
2290,Tottenham,Sheffield United,H,2,0,H,18,6,13,3,5,9,6,4,0,1,0,0,0,1,2,1,0,0,1,0,0,1,1,0,0,0,0,1
2291,Watford,West Ham,D,0,0,D,11,8,4,4,12,12,5,1,0,0,0,0,1,3,2,1,1,0,0,0,1,0,0,0,0,0,1,0
2292,Aston Villa,Reading,H,1,1,D,11,5,6,3,9,6,2,7,2,1,0,1,1,3,1,2,0,1,0,1,0,0,1,0,0,0,1,0
2293,Blackburn,Everton,D,0,0,D,10,10,5,4,22,20,5,3,4,3,0,0,0,2,3,1,0,1,0,1,1,0,0,0,0,1,0,1
2294,Charlton,Man United,A,0,0,D,8,21,2,11,14,11,4,11,1,1,0,0,1,5,3,1,0,0,0,0,0,1,0,0,1,1,0,1
2295,Fulham,Bolton,D,0,0,D,11,4,4,1,9,16,1,6,0,2,0,0,1,2,5,0,0,1,0,1,1,1,0,1,0,1,1,0
2296,Man City,Portsmouth,D,0,0,D,6,3,3,1,15,13,8,0,2,1,0,0,0,3,3,0,0,1,0,0,0,0,0,1,1,1,0,0
2297,Middlesbrough,Chelsea,H,0,1,A,9,8,2,5,15,7,3,3,2,2,0,0,2,3,3,0,0,0,1,1,1,0,0,0,1,1,0,0
2298,Charlton,Bolton,H,0,0,D,9,7,5,2,11,17,6,5,1,4,1,1,1,2,3,0,0,0,0,0,0,1,0,1,0,1,1,0
2299,Fulham,Sheffield United,H,1,0,H,10,9,5,1,17,17,9,5,3,3,0,0,1,1,5,1,0,1,0,1,1,1,1,0,0,0,0,1
2300,Liverpool,West Ham,H,2,1,H,19,8,8,3,15,6,6,1,1,0,0,0,3,4,2,2,0,0,0,1,1,1,0,0,0,0,1,0
2301,Man City,Arsenal,H,1,0,H,10,17,3,6,16,8,2,8,1,1,0,0,0,1,3,2,0,1,0,0,0,0,0,0,1,0,0,0
2302,Tottenham,Everton,A,0,0,D,15,6,6,2,9,12,7,2,1,1,0,1,2,3,2,2,0,0,1,0,0,1,0,0,0,1,0,1
2303,Watford,Man United,A,1,1,D,8,19,7,10,20,14,4,7,1,1,0,0,2,8,3,1,1,0,0,0,1,0,0,0,1,1,0,1
2304,Wigan,Reading,H,1,0,H,15,5,5,3,12,14,4,10,2,2,0,0,2,4,2,4,0,1,1,1,1,1,1,0,0,0,1,0
2305,Aston Villa,Newcastle,H,2,0,H,9,8,7,5,14,12,2,3,2,2,0,0,3,2,2,3,0,1,0,1,0,0,0,0,1,0,1,0
2306,Blackburn,Chelsea,A,0,0,D,12,14,3,8,10,15,7,3,3,1,0,0,1,4,4,2,0,1,0,1,1,0,0,0,1,1,0,0
2307,Middlesbrough,Portsmouth,A,0,1,A,19,10,8,7,15,9,8,6,2,1,0,0,4,3,4,0,0,0,1,1,1,0,0,1,1,1,0,0
2308,Arsenal,Middlesbrough,D,0,1,A,20,1,12,1,5,17,15,0,1,6,0,1,1,4,2,4,0,0,1,0,1,1,0,0,0,0,1,1
2309,Bolton,Watford,H,0,0,D,7,15,2,6,13,15,6,6,3,1,0,0,3,2,1,3,0,1,0,1,0,1,1,0,0,0,0,0
2310,Chelsea,Charlton,H,1,0,H,19,3,6,2,12,7,6,3,2,1,0,0,6,3,2,6,0,0,0,0,1,0,0,0,1,1,1,1
2311,Everton,Liverpool,H,2,0,H,8,21,6,5,22,13,2,11,1,3,0,0,5,3,2,5,0,0,1,1,1,1,0,0,1,0,1,1
2312,Man United,Tottenham,H,1,0,H,10,9,5,4,12,17,5,4,2,2,0,0,10,2,2,4,0,0,1,0,1,0,0,0,1,1,1,0
2313,Newcastle,Fulham,A,0,0,D,15,8,7,5,16,12,4,7,1,1,0,0,3,3,5,6,0,1,0,0,0,1,0,1,0,1,1,1
2314,Portsmouth,Wigan,H,0,0,D,9,11,7,5,14,5,6,9,0,1,0,0,7,2,0,3,0,1,1,0,1,1,0,1,1,1,1,1
2315,Sheffield United,Blackburn,D,0,0,D,14,12,9,1,12,11,7,6,2,2,0,0,1,1,4,6,1,0,0,0,0,1,0,1,0,1,0,1
2316,West Ham,Aston Villa,D,0,1,A,7,10,1,6,15,9,3,5,2,2,0,0,5,5,4,2,0,1,0,0,1,1,0,0,0,1,1,0
2317,Reading,Man City,H,1,0,H,12,15,7,8,6,16,6,4,0,4,0,1,4,1,5,3,1,0,0,0,0,0,0,0,0,0,0,1
2318,Bolton,Middlesbrough,D,0,0,D,13,14,3,7,7,19,9,4,0,1,0,0,3,4,3,8,0,1,0,1,0,1,0,0,0,0,1,1
2319,Charlton,Portsmouth,A,0,0,D,18,12,5,5,6,10,9,4,0,2,0,0,3,7,6,0,0,0,0,0,0,1,0,1,1,1,0,0
2320,Everton,Wigan,D,0,0,D,14,10,9,7,14,23,4,2,1,5,0,0,8,4,2,5,0,0,1,1,1,1,0,1,1,1,1,1
2321,Sheffield United,Reading,A,0,2,A,14,8,7,2,12,6,8,7,2,1,0,0,1,5,4,5,1,0,0,0,0,1,1,0,0,0,1,0
2322,Watford,Aston Villa,D,0,0,D,12,9,5,4,12,10,7,1,1,0,0,0,3,6,6,3,1,0,0,0,1,0,0,0,0,1,1,0
2323,Blackburn,Man City,H,2,2,D,11,15,5,8,11,11,4,3,2,3,0,0,1,1,6,4,0,1,0,1,1,0,0,0,0,0,0,1
2324,Chelsea,Liverpool,H,1,0,H,4,9,3,6,13,17,1,3,3,2,1,0,8,3,3,6,0,0,0,0,1,0,0,0,1,0,1,1
2325,Man United,Arsenal,A,0,0,D,17,14,9,7,11,11,10,5,2,2,0,0,11,3,2,3,0,0,1,0,1,0,0,0,1,0,0,0
2326,Tottenham,Fulham,D,0,0,D,18,8,8,3,11,20,12,2,2,2,0,0,2,5,5,7,0,0,1,0,0,1,0,1,0,1,1,1
2327,West Ham,Newcastle,A,0,0,D,10,16,7,9,11,11,5,6,3,3,0,0,6,5,5,5,0,1,0,0,1,1,0,0,1,0,1,0
2328,Liverpool,Newcastle,H,1,0,H,22,11,11,6,12,13,8,6,1,1,0,0,3,5,6,5,0,0,0,1,1,1,0,0,1,0,1,0
2329,Arsenal,Sheffield United,H,0,0,D,14,5,11,4,11,8,7,2,2,1,0,0,3,1,3,4,0,0,1,0,1,1,1,0,0,0,0,1
2330,Aston Villa,Charlton,H,1,0,H,12,8,5,3,10,14,4,4,0,1,0,0,6,4,3,9,0,1,0,1,0,0,0,0,1,1,1,1
2331,Fulham,Chelsea,A,0,0,D,7,13,4,5,19,9,5,7,2,1,0,0,5,9,7,3,0,1,0,1,1,1,0,0,1,1,0,0
2332,Liverpool,Tottenham,H,0,0,D,14,5,6,1,12,9,6,0,1,0,0,0,5,2,6,5,0,0,0,1,1,1,0,0,1,1,1,0
2333,Man City,West Ham,H,0,0,D,17,4,8,0,12,15,4,6,0,0,0,0,3,6,8,7,0,1,0,0,0,0,0,0,0,0,1,0
2334,Middlesbrough,Blackburn,A,0,1,A,13,13,7,7,14,17,6,7,1,3,0,0,5,5,9,8,0,0,1,1,1,0,0,1,0,1,0,1
2335,Reading,Man United,D,0,0,D,3,18,1,8,6,10,2,6,0,0,0,0,7,11,6,3,1,0,0,0,0,0,0,0,1,1,0,1
2336,Wigan,Watford,D,1,0,H,8,10,4,4,15,15,4,3,2,2,0,0,5,3,6,6,0,1,1,1,1,1,1,0,0,0,0,0
2337,Newcastle,Everton,D,1,1,D,21,12,13,5,12,18,9,6,2,4,1,1,5,10,7,4,0,1,0,0,0,1,0,0,0,1,0,1
2338,Portsmouth,Bolton,A,0,1,A,13,4,5,3,8,13,11,2,2,2,0,0,9,4,0,3,0,1,1,0,1,1,0,1,0,1,1,0
2339,Bolton,Liverpool,H,1,0,H,4,13,3,6,15,12,1,10,2,1,0,0,4,5,3,6,0,1,0,1,0,1,0,0,1,0,1,1
2340,Charlton,Arsenal,A,1,1,D,10,21,6,12,19,8,4,7,4,4,0,0,4,8,11,4,0,0,0,0,0,1,0,0,1,0,0,0
2341,Chelsea,Aston Villa,D,1,1,D,18,9,10,5,13,14,7,5,0,2,0,0,11,8,3,3,0,0,0,0,1,0,0,0,0,1,1,0
2342,Everton,Man City,D,1,0,H,14,11,10,5,14,17,8,4,2,2,0,0,11,5,5,8,0,0,1,1,1,1,0,0,0,0,0,1
2343,Sheffield United,Middlesbrough,H,1,0,H,13,7,7,2,8,12,10,4,1,3,0,0,2,5,9,10,1,0,0,0,0,1,0,0,0,0,1,1
2344,Blackburn,Wigan,H,1,1,D,12,11,8,6,16,17,5,4,3,4,0,0,6,6,8,8,0,1,0,1,1,0,0,1,1,1,1,1
2345,Man United,Newcastle,H,1,0,H,24,3,11,3,5,13,8,3,1,3,0,0,12,6,4,8,0,0,1,0,1,0,0,0,1,0,1,0
2346,Tottenham,Portsmouth,H,2,1,H,8,9,6,6,8,10,6,10,0,0,0,0,2,9,8,1,0,0,1,0,0,1,0,1,1,1,0,0
2347,West Ham,Reading,A,0,1,A,13,2,8,1,8,7,10,5,4,2,0,0,6,8,9,7,0,1,0,0,1,1,1,0,0,0,1,0
2348,Watford,Fulham,D,1,0,H,9,9,4,3,24,12,3,2,1,3,0,0,4,5,7,9,1,0,0,0,1,0,0,1,0,1,1,1
2349,Arsenal,Watford,H,2,0,H,15,9,7,3,6,14,8,4,0,1,0,0,8,4,4,7,0,0,1,0,1,1,1,0,0,0,0,0
2350,Aston Villa,Tottenham,D,0,0,D,12,10,6,5,13,11,2,2,0,1,0,1,9,4,4,9,0,1,0,1,0,0,0,0,1,1,1,0
2351,Liverpool,Blackburn,D,0,1,A,18,5,9,3,6,15,8,1,1,3,0,0,8,8,8,9,0,0,0,1,1,1,0,1,0,1,0,1
2352,Man City,Sheffield United,D,0,0,D,14,7,6,3,14,12,3,4,0,1,0,0,6,4,9,10,0,1,0,0,0,0,1,0,0,0,0,1
2353,Middlesbrough,Everton,H,1,0,H,9,12,6,8,12,9,10,13,1,0,0,0,6,12,12,6,0,0,1,1,1,0,0,0,0,1,0,1
2354,Portsmouth,West Ham,H,1,0,H,18,6,6,3,20,11,4,4,4,4,0,0,10,6,3,10,0,1,1,0,1,1,0,0,0,0,1,0
2355,Reading,Chelsea,A,0,1,A,5,7,0,4,16,7,8,5,3,2,1,1,9,12,7,4,1,0,0,0,0,0,0,0,1,1,0,0
2356,Wigan,Man United,A,1,0,H,6,12,2,5,7,8,2,5,0,2,0,0,7,14,11,4,0,1,1,1,1,1,0,0,1,1,0,1
2357,Newcastle,Bolton,A,1,0,H,10,7,3,5,21,15,3,3,3,3,0,0,6,7,10,3,0,1,0,0,0,1,0,1,0,1,1,0
2358,Fulham,Charlton,H,0,0,D,11,10,6,3,9,12,3,6,1,3,0,0,8,5,12,13,0,1,0,1,1,1,0,0,1,1,1,1
2359,Aston Villa,Fulham,D,1,1,D,3,5,1,2,12,13,4,1,0,2,0,0,9,8,4,12,0,1,0,1,0,0,0,1,0,1,1,1
2360,Charlton,Watford,D,0,0,D,16,8,8,3,13,17,9,9,2,0,0,0,6,7,15,13,0,0,0,0,0,1,1,0,0,0,0,0
2361,Chelsea,Portsmouth,H,0,0,D,26,10,18,1,6,12,9,5,3,2,0,0,13,12,4,3,0,0,0,0,1,0,0,1,1,1,0,0
2362,Everton,Sheffield United,H,2,0,H,13,10,5,4,13,11,4,3,0,1,0,1,13,4,8,10,0,0,1,1,1,1,1,0,0,0,0,1
2363,Wigan,Man City,H,2,0,H,12,9,5,4,14,13,3,5,1,1,0,0,11,6,11,9,0,1,1,1,1,1,0,0,0,0,0,1
2364,Blackburn,Bolton,A,0,0,D,24,8,11,7,12,16,7,8,2,2,0,1,9,9,10,4,0,1,0,1,1,0,0,1,0,1,1,0
2365,Man United,Liverpool,H,1,0,H,10,13,8,5,14,21,5,5,1,3,0,0,17,9,5,9,0,0,1,0,1,0,0,0,1,0,1,1
2366,Middlesbrough,Newcastle,H,0,0,D,19,13,8,4,17,13,8,4,2,0,0,0,8,7,13,12,0,0,1,1,1,0,0,0,1,0,1,0
2367,Reading,Arsenal,A,0,2,A,3,16,1,9,6,6,10,2,0,0,0,0,9,15,8,4,1,0,0,0,0,0,0,0,1,0,0,0
2368,Tottenham,West Ham,H,1,0,H,13,5,5,2,14,15,9,9,3,4,0,0,5,6,10,12,0,0,1,0,0,1,0,0,0,0,1,0
2369,Arsenal,Everton,D,0,1,A,26,2,12,2,6,21,16,3,2,3,0,0,15,13,4,8,0,0,1,0,1,1,0,0,0,1,0,1
2370,Bolton,Man United,A,0,2,A,8,15,3,10,18,11,7,2,2,2,0,0,10,19,4,5,0,1,0,1,0,1,0,0,1,1,0,1
2371,Fulham,Wigan,A,0,0,D,4,15,1,7,11,12,5,4,1,2,0,0,11,12,14,11,0,1,0,1,1,1,0,1,1,1,1,1
