,HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5
39,Bradford,Arsenal,D,1,0,H,9,18,5,11,17,13,4,10,0,2,0,0,2,7,1,4,0,0,1,1,0,0,0,0,1,0,0,0
40,Coventry,Leeds,D,0,0,D,9,11,1,5,15,14,6,6,2,2,0,0,5,5,7,3,0,0,0,0,1,1,0,1,0,1,0,0
41,Ipswich,Aston Villa,A,0,1,A,15,5,5,2,9,13,5,3,1,3,0,0,4,4,6,5,0,0,1,1,0,1,0,0,0,1,1,0
42,Leicester,Southampton,H,0,0,D,17,9,6,5,6,9,10,6,0,0,0,0,3,7,1,8,0,0,0,1,1,0,0,0,0,1,0,0
43,Liverpool,Man City,H,1,0,H,14,9,8,7,17,17,9,4,3,4,0,0,7,7,6,9,0,0,0,1,1,1,0,0,0,0,0,1
44,Man United,Sunderland,H,1,0,H,15,5,7,1,18,14,4,4,1,3,0,0,11,4,3,6,0,0,1,0,1,0,0,1,0,0,0,0
45,Middlesbrough,Everton,A,1,0,H,9,12,5,9,16,5,7,7,3,0,0,0,8,7,7,7,0,0,1,1,1,0,0,0,0,1,0,1
46,Newcastle,Chelsea,D,0,0,D,10,10,4,3,17,21,5,6,0,3,0,0,7,7,4,7,0,1,0,0,0,1,0,0,1,1,0,0
47,Derby,Charlton,D,2,0,H,12,10,6,6,17,12,4,11,3,1,0,0,9,8,10,9,0,0,0,1,0,0,0,0,1,1,1,1
48,Tottenham,West Ham,H,0,0,D,15,11,7,5,14,13,11,3,1,2,0,0,7,5,6,8,0,0,1,0,0,1,0,0,0,0,1,0
49,Arsenal,Coventry,H,1,0,H,18,6,13,2,5,13,8,4,1,2,0,0,9,5,6,7,0,0,1,0,1,1,0,1,0,0,1,0
50,Aston Villa,Bradford,H,1,0,H,12,8,7,4,8,12,5,6,0,2,0,0,6,3,5,8,0,1,0,1,0,0,0,0,0,1,1,1
51,Charlton,Tottenham,H,1,0,H,9,10,5,5,8,10,7,5,0,0,0,0,10,8,11,6,0,0,0,0,0,1,0,0,1,1,1,0
52,Everton,Man United,A,0,3,A,6,17,4,9,10,11,6,5,4,1,0,0,9,14,8,3,0,0,1,1,1,1,0,0,1,1,0,1
53,Leeds,Ipswich,A,1,1,D,11,12,6,7,12,19,6,3,1,3,0,0,6,5,5,8,0,0,0,1,0,1,0,0,1,0,0,1
54,Southampton,Newcastle,H,0,0,D,13,10,9,7,14,14,4,8,0,0,0,0,7,7,9,4,0,1,0,0,1,0,0,0,1,0,1,0
55,Sunderland,Derby,H,1,0,H,15,10,8,5,16,28,4,5,2,3,0,0,4,11,9,12,0,0,1,0,0,0,0,1,0,0,0,1
56,Chelsea,Leicester,A,0,1,A,16,7,10,5,16,17,15,3,3,1,0,0,7,4,7,1,0,0,0,0,1,0,0,1,0,0,1,1
57,Man City,Middlesbrough,D,0,0,D,11,4,4,2,15,11,9,3,2,5,0,0,9,9,12,9,0,1,0,0,0,0,0,0,0,0,1,1
58,West Ham,Liverpool,D,0,1,A,15,7,4,2,5,13,9,0,0,2,0,0,5,10,9,8,0,1,0,0,1,1,0,0,1,0,1,1
59,Bradford,Southampton,A,0,1,A,14,6,6,4,14,18,7,5,3,1,0,0,3,7,8,9,0,0,1,1,0,0,0,0,0,1,0,0
60,Coventry,West Ham,A,0,2,A,9,12,2,10,12,11,5,6,0,1,0,0,6,6,9,10,0,0,0,0,1,1,0,0,0,0,1,0
61,Derby,Leeds,D,0,1,A,13,16,7,6,17,15,7,4,2,2,1,0,12,7,14,6,0,0,0,1,0,0,0,1,0,1,0,0
62,Ipswich,Arsenal,D,0,0,D,17,10,6,4,8,13,4,7,1,2,0,0,7,12,9,8,0,0,1,1,0,1,0,0,1,0,0,0
63,Liverpool,Sunderland,D,1,1,D,11,8,6,3,14,18,12,3,2,2,0,0,11,6,9,10,0,0,0,1,1,1,0,1,0,0,0,0
64,Man United,Chelsea,D,3,2,H,11,13,5,5,15,19,8,4,3,2,0,0,17,7,4,9,0,0,1,0,1,0,0,0,1,1,0,0
65,Middlesbrough,Aston Villa,D,0,0,D,12,15,5,7,7,14,5,5,3,0,0,0,10,7,10,6,0,0,1,1,1,0,0,0,0,1,1,0
66,Newcastle,Charlton,A,0,1,A,12,4,5,2,14,10,4,7,1,2,0,0,7,11,6,11,0,1,0,0,0,1,0,0,1,1,1,1
67,Tottenham,Man City,D,0,0,D,18,7,5,2,10,14,5,4,0,2,0,0,8,10,7,13,0,0,1,0,0,1,0,0,0,0,0,1
68,Leicester,Everton,D,1,0,H,10,9,4,3,14,13,9,3,3,1,0,0,6,10,1,11,0,0,0,1,1,0,0,0,0,1,0,1
69,Aston Villa,Derby,H,2,0,H,12,11,7,6,0,1,6,6,1,1,0,0,7,12,6,14,0,1,0,1,0,0,0,1,0,0,0,1
70,Charlton,Coventry,D,0,1,A,12,10,8,6,8,16,6,6,1,2,0,0,12,6,11,12,0,0,0,0,0,1,0,1,0,0,1,0
71,Everton,Ipswich,A,0,1,A,7,9,3,7,6,5,4,1,1,0,0,0,11,8,12,10,0,0,1,1,1,1,0,0,1,0,0,1
72,Leeds,Tottenham,H,0,1,A,14,10,7,5,11,20,6,4,0,2,0,0,11,8,9,7,0,0,0,1,0,1,0,0,1,1,1,0
73,Man City,Newcastle,A,0,0,D,9,15,7,9,16,12,10,8,0,1,0,0,10,7,13,7,0,1,0,0,0,0,0,0,1,0,1,0
74,Southampton,Middlesbrough,A,0,2,A,16,7,8,5,6,22,6,6,2,2,0,0,10,11,9,11,0,1,0,0,1,0,0,0,0,0,1,1
75,West Ham,Bradford,D,1,0,H,14,9,6,6,14,10,7,2,3,2,0,0,9,3,10,11,0,1,0,0,1,1,0,0,0,1,1,1
76,Arsenal,Man United,H,1,0,H,7,13,5,4,18,17,3,11,2,3,0,0,13,20,9,7,0,0,1,0,1,1,0,0,1,1,0,1
77,Chelsea,Liverpool,H,2,0,H,11,10,5,2,14,14,3,1,1,1,0,0,10,12,12,10,0,0,0,0,1,0,0,0,1,0,1,1
78,Sunderland,Leicester,D,0,0,D,11,8,5,2,12,8,6,2,3,1,0,0,7,7,11,2,0,0,1,0,0,0,0,1,0,0,1,1
79,Arsenal,Aston Villa,H,0,0,D,16,8,10,3,12,20,7,4,1,4,0,1,13,11,9,7,0,0,1,0,1,1,0,0,0,1,1,0
80,Coventry,Tottenham,H,2,0,H,0,4,5,5,12,16,3,5,0,4,1,0,8,11,14,11,0,0,0,0,1,1,0,0,1,1,1,0
81,Everton,Southampton,D,0,0,D,7,7,3,4,16,13,9,8,1,3,0,0,11,11,15,12,0,0,1,1,1,1,0,0,0,1,0,0
82,Ipswich,West Ham,D,1,0,H,11,7,8,2,10,11,8,5,0,4,0,0,11,10,10,11,0,0,1,1,0,1,0,0,0,0,1,0
83,Leeds,Charlton,H,1,0,H,22,10,10,8,7,9,8,5,0,1,0,0,14,14,10,13,0,0,0,1,0,1,0,0,1,1,1,1
84,Leicester,Man United,A,0,1,A,10,16,4,5,8,11,6,7,0,0,0,0,7,20,2,8,0,0,0,1,1,0,0,0,1,1,0,1
85,Man City,Bradford,H,2,0,H,13,10,10,2,10,16,5,6,0,2,0,0,10,4,14,12,0,1,0,0,0,0,0,0,0,1,1,1
86,Sunderland,Chelsea,H,0,0,D,16,11,11,2,12,18,5,0,0,1,1,1,7,13,11,12,0,0,1,0,0,0,0,0,1,1,0,0
87,Derby,Liverpool,A,0,1,A,6,16,0,11,18,13,4,3,1,1,0,0,14,12,19,13,0,0,0,1,0,0,0,0,1,0,1,1
88,Middlesbrough,Newcastle,A,0,1,A,8,15,2,8,8,13,6,6,2,1,0,0,14,8,12,7,0,0,1,1,1,0,0,0,1,0,1,0
89,Bradford,Ipswich,A,0,1,A,7,12,3,3,15,14,9,1,1,0,0,0,4,11,12,10,0,0,1,1,0,0,0,0,1,0,0,1
90,Charlton,Middlesbrough,H,0,0,D,5,8,2,6,11,19,5,6,2,2,0,0,15,15,16,15,0,0,0,0,0,1,0,0,0,0,1,1
91,Chelsea,Coventry,H,2,0,H,33,3,19,3,6,8,10,0,0,1,0,1,13,10,13,15,0,0,0,0,1,0,0,1,0,0,1,0
92,Liverpool,Leicester,H,0,0,D,24,8,11,3,8,10,10,9,1,2,0,0,16,7,13,5,0,0,0,1,1,1,0,1,0,0,1,1
93,Man United,Leeds,H,1,0,H,26,5,14,0,9,18,12,4,0,2,0,0,23,14,8,13,0,0,1,0,1,0,0,1,0,1,0,0
94,Newcastle,Everton,A,0,0,D,11,9,4,4,9,12,5,4,1,3,0,0,11,12,8,16,0,1,0,0,0,1,0,0,0,1,0,1
95,Tottenham,Derby,H,2,1,H,18,8,8,7,9,16,7,4,1,2,0,0,12,14,13,23,0,0,1,0,0,1,0,1,0,0,0,1
